"filename", "language", "Markdown", "Python", "JSON", "JSON with Comments", "pip requirements", "C++", "comment", "blank", "total"
"/Users/bbenziger/djr3x/.claude/settings.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 1, 21
"/Users/bbenziger/djr3x/.claude/settings.local.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/bbenziger/djr3x/CONTEXT.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 22, 187
"/Users/bbenziger/djr3x/INSTALL.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/bbenziger/djr3x/README.md", "Markdown", 302, 0, 0, 0, 0, 0, 0, 55, 357
"/Users/bbenziger/djr3x/arduino/chest_nano/chest_nano.ino", "C++", 0, 0, 0, 0, 0, 536, 112, 143, 791
"/Users/bbenziger/djr3x/arduino/head_nano/head_nano.ino", "C++", 0, 0, 0, 0, 0, 315, 234, 83, 632
"/Users/bbenziger/djr3x/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/audio/player.py", "Python", 0, 291, 0, 0, 0, 0, 168, 80, 539
"/Users/bbenziger/djr3x/audio/recorder.py", "Python", 0, 0, 0, 0, 0, 0, 12, 1, 13
"/Users/bbenziger/djr3x/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/commands/command_list.py", "Python", 0, 970, 0, 0, 0, 0, 73, 66, 1109
"/Users/bbenziger/djr3x/commands/parser.py", "Python", 0, 58, 0, 0, 0, 0, 45, 19, 122
"/Users/bbenziger/djr3x/config.py", "Python", 0, 265, 0, 0, 0, 0, 150, 76, 491
"/Users/bbenziger/djr3x/hardware/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/hardware/leds.py", "Python", 0, 192, 0, 0, 0, 0, 139, 48, 379
"/Users/bbenziger/djr3x/hardware/servos.py", "Python", 0, 376, 0, 0, 0, 0, 263, 83, 722
"/Users/bbenziger/djr3x/llm/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/llm/chatgpt.py", "Python", 0, 211, 0, 0, 0, 0, 72, 27, 310
"/Users/bbenziger/djr3x/llm/greeter.py", "Python", 0, 211, 0, 0, 0, 0, 61, 34, 306
"/Users/bbenziger/djr3x/llm/vision_intent.py", "Python", 0, 65, 0, 0, 0, 0, 28, 18, 111
"/Users/bbenziger/djr3x/main.py", "Python", 0, 105, 0, 0, 0, 0, 60, 40, 205
"/Users/bbenziger/djr3x/platform_utils.py", "Python", 0, 7, 0, 0, 0, 0, 7, 5, 19
"/Users/bbenziger/djr3x/requirements.txt", "pip requirements", 0, 0, 0, 0, 48, 0, 0, 1, 49
"/Users/bbenziger/djr3x/sequences/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/sequences/animations.py", "Python", 0, 381, 0, 0, 0, 0, 228, 95, 704
"/Users/bbenziger/djr3x/setup_assets.py", "Python", 0, 100, 0, 0, 0, 0, 7, 11, 118
"/Users/bbenziger/djr3x/speech/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 8, 1, 9
"/Users/bbenziger/djr3x/speech/synthesizer.py", "Python", 0, 113, 0, 0, 0, 0, 63, 26, 202
"/Users/bbenziger/djr3x/speech/transcriber.py", "Python", 0, 388, 0, 0, 0, 0, 143, 63, 594
"/Users/bbenziger/djr3x/speech/wake_word.py", "Python", 0, 234, 0, 0, 0, 0, 95, 44, 373
"/Users/bbenziger/djr3x/states/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/states/state_machine.py", "Python", 0, 1685, 0, 0, 0, 0, 527, 299, 2511
"/Users/bbenziger/djr3x/vision/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x/vision/camera.py", "Python", 0, 103, 0, 0, 0, 0, 60, 29, 192
"/Users/bbenziger/djr3x/vision/face_db.py", "Python", 0, 175, 0, 0, 0, 0, 47, 35, 257
"/Users/bbenziger/djr3x/vision/face_recognizer.py", "Python", 0, 197, 0, 0, 0, 0, 101, 38, 336
"Total", "-", 507, 6127, 16, 20, 48, 851, 2743, 1456, 11768
