"filename", "language", "Python", "JSON with Comments", "JSON", "Markdown", "pip requirements", "C++", "comment", "blank", "total"
"/Users/bbenziger/djr3x/.claude/settings.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/bbenziger/djr3x/.claude/settings.local.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/bbenziger/djr3x/CONTEXT.md", "Markdown", 0, 0, 0, 165, 0, 0, 0, 22, 187
"/Users/bbenziger/djr3x/INSTALL.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 5, 45
"/Users/bbenziger/djr3x/README.md", "Markdown", 0, 0, 0, 302, 0, 0, 0, 55, 357
"/Users/bbenziger/djr3x/arduino/chest_nano/chest_nano.ino", "C++", 0, 0, 0, 0, 0, 536, 112, 143, 791
"/Users/bbenziger/djr3x/arduino/head_nano/head_nano.ino", "C++", 0, 0, 0, 0, 0, 315, 234, 83, 632
"/Users/bbenziger/djr3x/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/audio/player.py", "Python", 291, 0, 0, 0, 0, 0, 168, 80, 539
"/Users/bbenziger/djr3x/audio/recorder.py", "Python", 0, 0, 0, 0, 0, 0, 12, 1, 13
"/Users/bbenziger/djr3x/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/commands/command_list.py", "Python", 1077, 0, 0, 0, 0, 0, 76, 76, 1229
"/Users/bbenziger/djr3x/commands/parser.py", "Python", 58, 0, 0, 0, 0, 0, 45, 19, 122
"/Users/bbenziger/djr3x/config.py", "Python", 278, 0, 0, 0, 0, 0, 153, 78, 509
"/Users/bbenziger/djr3x/hardware/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/hardware/leds.py", "Python", 192, 0, 0, 0, 0, 0, 139, 48, 379
"/Users/bbenziger/djr3x/hardware/servos.py", "Python", 376, 0, 0, 0, 0, 0, 263, 83, 722
"/Users/bbenziger/djr3x/llm/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/llm/chatgpt.py", "Python", 390, 0, 0, 0, 0, 0, 104, 38, 532
"/Users/bbenziger/djr3x/llm/greeter.py", "Python", 211, 0, 0, 0, 0, 0, 61, 34, 306
"/Users/bbenziger/djr3x/llm/vision_intent.py", "Python", 65, 0, 0, 0, 0, 0, 28, 18, 111
"/Users/bbenziger/djr3x/main.py", "Python", 105, 0, 0, 0, 0, 0, 60, 40, 205
"/Users/bbenziger/djr3x/platform_utils.py", "Python", 7, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/bbenziger/djr3x/requirements.txt", "pip requirements", 0, 0, 0, 0, 49, 0, 0, 1, 50
"/Users/bbenziger/djr3x/sequences/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/sequences/animations.py", "Python", 381, 0, 0, 0, 0, 0, 228, 95, 704
"/Users/bbenziger/djr3x/setup_assets.py", "Python", 100, 0, 0, 0, 0, 0, 7, 11, 118
"/Users/bbenziger/djr3x/speech/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 8, 1, 9
"/Users/bbenziger/djr3x/speech/synthesizer.py", "Python", 113, 0, 0, 0, 0, 0, 63, 26, 202
"/Users/bbenziger/djr3x/speech/transcriber.py", "Python", 388, 0, 0, 0, 0, 0, 143, 63, 594
"/Users/bbenziger/djr3x/speech/wake_word.py", "Python", 234, 0, 0, 0, 0, 0, 95, 44, 373
"/Users/bbenziger/djr3x/states/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/states/state_machine.py", "Python", 2396, 0, 0, 0, 0, 0, 584, 404, 3384
"/Users/bbenziger/djr3x/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x/utils/realworld.py", "Python", 124, 0, 0, 0, 0, 0, 66, 33, 223
"/Users/bbenziger/djr3x/vision/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x/vision/camera.py", "Python", 103, 0, 0, 0, 0, 0, 60, 29, 192
"/Users/bbenziger/djr3x/vision/face_db.py", "Python", 248, 0, 0, 0, 0, 0, 75, 42, 365
"/Users/bbenziger/djr3x/vision/face_recognizer.py", "Python", 197, 0, 0, 0, 0, 0, 101, 38, 336
"/Users/bbenziger/djr3x/vision/i_spy.py", "Python", 139, 0, 0, 0, 0, 0, 7, 29, 175
"Total", "-", 7473, 25, 16, 507, 49, 851, 2939, 1654, 13514
