"filename", "language", "Python", "Markdown", "pip requirements", "JSON with Comments", "C++", "comment", "blank", "total"
"/Users/bbenziger/djr3x/.claude/settings.json", "JSON with Comments", 0, 0, 0, 48, 0, 0, 1, 49
"/Users/bbenziger/djr3x/CONTEXT.md", "Markdown", 0, 165, 0, 0, 0, 0, 22, 187
"/Users/bbenziger/djr3x/INSTALL.md", "Markdown", 0, 40, 0, 0, 0, 0, 5, 45
"/Users/bbenziger/djr3x/README.md", "Markdown", 0, 302, 0, 0, 0, 0, 55, 357
"/Users/bbenziger/djr3x/arduino/chest_nano/chest_nano.ino", "C++", 0, 0, 0, 0, 536, 112, 143, 791
"/Users/bbenziger/djr3x/arduino/head_nano/head_nano.ino", "C++", 0, 0, 0, 0, 323, 250, 84, 657
"/Users/bbenziger/djr3x/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/audio/player.py", "Python", 314, 0, 0, 0, 0, 175, 84, 573
"/Users/bbenziger/djr3x/audio/recorder.py", "Python", 0, 0, 0, 0, 0, 12, 1, 13
"/Users/bbenziger/djr3x/autonomy/__init__.py", "Python", 2, 0, 0, 0, 0, 1, 3, 6
"/Users/bbenziger/djr3x/autonomy/layer.py", "Python", 338, 0, 0, 0, 0, 31, 68, 437
"/Users/bbenziger/djr3x/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/commands/command_list.py", "Python", 1097, 0, 0, 0, 0, 90, 83, 1270
"/Users/bbenziger/djr3x/commands/parser.py", "Python", 58, 0, 0, 0, 0, 45, 19, 122
"/Users/bbenziger/djr3x/config.py", "Python", 344, 0, 0, 0, 0, 175, 84, 603
"/Users/bbenziger/djr3x/hardware/__init__.py", "Python", 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/hardware/leds.py", "Python", 195, 0, 0, 0, 0, 143, 48, 386
"/Users/bbenziger/djr3x/hardware/servos.py", "Python", 452, 0, 0, 0, 0, 305, 93, 850
"/Users/bbenziger/djr3x/llm/__init__.py", "Python", 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/llm/chatgpt.py", "Python", 607, 0, 0, 0, 0, 127, 49, 783
"/Users/bbenziger/djr3x/llm/greeter.py", "Python", 211, 0, 0, 0, 0, 61, 34, 306
"/Users/bbenziger/djr3x/llm/vision_intent.py", "Python", 65, 0, 0, 0, 0, 28, 18, 111
"/Users/bbenziger/djr3x/main.py", "Python", 105, 0, 0, 0, 0, 60, 40, 205
"/Users/bbenziger/djr3x/platform_utils.py", "Python", 7, 0, 0, 0, 0, 7, 5, 19
"/Users/bbenziger/djr3x/requirements.txt", "pip requirements", 0, 0, 75, 0, 0, 0, 1, 76
"/Users/bbenziger/djr3x/sequences/__init__.py", "Python", 0, 0, 0, 0, 0, 7, 1, 8
"/Users/bbenziger/djr3x/sequences/animations.py", "Python", 381, 0, 0, 0, 0, 228, 95, 704
"/Users/bbenziger/djr3x/setup_assets.py", "Python", 100, 0, 0, 0, 0, 7, 11, 118
"/Users/bbenziger/djr3x/speech/__init__.py", "Python", 0, 0, 0, 0, 0, 8, 1, 9
"/Users/bbenziger/djr3x/speech/synthesizer.py", "Python", 114, 0, 0, 0, 0, 63, 26, 203
"/Users/bbenziger/djr3x/speech/transcriber.py", "Python", 434, 0, 0, 0, 0, 174, 66, 674
"/Users/bbenziger/djr3x/speech/wake_word.py", "Python", 234, 0, 0, 0, 0, 95, 44, 373
"/Users/bbenziger/djr3x/states/__init__.py", "Python", 0, 0, 0, 0, 0, 6, 1, 7
"/Users/bbenziger/djr3x/states/state_machine.py", "Python", 3768, 0, 0, 0, 0, 764, 593, 5125
"/Users/bbenziger/djr3x/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x/utils/realworld.py", "Python", 124, 0, 0, 0, 0, 66, 33, 223
"/Users/bbenziger/djr3x/vision/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x/vision/camera.py", "Python", 117, 0, 0, 0, 0, 74, 33, 224
"/Users/bbenziger/djr3x/vision/face_db.py", "Python", 370, 0, 0, 0, 0, 137, 60, 567
"/Users/bbenziger/djr3x/vision/face_recognizer.py", "Python", 197, 0, 0, 0, 0, 101, 38, 336
"/Users/bbenziger/djr3x/vision/head_tracker.py", "Python", 269, 0, 0, 0, 0, 135, 58, 462
"/Users/bbenziger/djr3x/vision/i_spy.py", "Python", 139, 0, 0, 0, 0, 7, 29, 175
"Total", "-", 10042, 507, 75, 48, 859, 3521, 2035, 17087
